world_id,world_name,data_points,time_span_hours,composite_mean,composite_std,composite_trend,composite_roc,performance_roc,volatility,max_drawdown,current_composite,stability_score,crisis_flag,warning_flag,relative_to_mean,z_score,distance_to_best,distance_to_worst,stability_rank,distance_to_crisis,hour_of_day,day_of_week,is_weekend,hour_sin,hour_cos,day_sin,day_cos,target_7day_change,feature_importance_composite,feature_importance_trend,feature_importance_volatility
deepseek,Pattern Archive (DeepSeek-V3.2),3,0.25683926166666665,79.75,7.43,-7.8791,-7.8791,-31.5164,7.8791,0.1854,69.24,20.28,0,0,4.462307692307689,0.38674925082765177,12.02000000000001,38.239999999999995,9.0,29.239999999999995,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-1271.09,0.6923999999999999,7.8791,7.8791
gemini-3.1-canvas,Canvas of Truth (Gemini 3.1 Pro),3,0.25683926166666665,76.71,3.71,2.2653,2.2653,-14.7648,6.8338,0.0595,81.26,31.36,0,0,16.4823076923077,1.4285254606936915,0.0,50.260000000000005,8.0,41.260000000000005,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,388.72,0.8126000000000001,2.2653,6.8338
gpt-5.1,Canonical Observatory (GPT-5.1),3,0.25683926166666665,69.51,0.76,-0.7745,-0.7745,-3.0982,0.8887,0.0237,68.44,90.99,0,0,3.6623076923076923,0.3174130638149373,12.820000000000007,37.44,1.0,28.439999999999998,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-136.03,0.6844,0.7745,0.8887
gpt-5.2-constellation,Proof Constellation (GPT-5.2),3,0.25683926166666665,75.69,6.72,-1.6409,-1.6409,-6.5636,13.9713,0.1837,69.39,-40.63,0,0,4.612307692307695,0.3997497858925363,11.870000000000005,38.39,11.0,29.39,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-355.18,0.6939,1.6409,13.9713
gpt-5.4,Signal Cartographer (GPT-5.4),3,0.25683926166666665,74.84,5.49,-2.6691,-2.6691,-10.6763,10.686,0.1629,68.6,-7.67,0,0,3.822307692307689,0.33128030121748,12.66000000000001,37.599999999999994,10.0,28.599999999999994,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-439.17,0.6859999999999999,2.6691,10.686
gpt-5.5-index,The Luminous Index (GPT-5.5),3,0.25683926166666665,74.75,9.62,-7.7566,-7.7566,-15.7004,15.3721,0.2721,61.87,-55.08,0,0,-2.907692307692308,-0.2520103720269824,19.390000000000008,30.869999999999997,12.0,21.869999999999997,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-1277.95,0.6187,7.7566,15.3721
haiku-4.5-observatory,Automation Observatory (Claude Haiku 4.5),3,0.25683926166666665,72.47,10.69,-13.0658,-13.0658,-34.0089,1.6027,0.3074,58.87,82.44,0,1,-5.907692307692308,-0.5120210733246626,22.390000000000008,27.869999999999997,3.0,18.869999999999997,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-2201.34,0.5887,13.0658,1.6027
kimi-k2.6-strata,STRATA (Kimi K2.6),3,0.25683926166666665,75.85,6.55,-7.4908,-7.4908,-29.9633,4.974,0.1763,70.02,49.38,0,0,5.242307692307691,0.45435203316504874,11.240000000000009,39.019999999999996,7.0,30.019999999999996,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-1284.68,0.7001999999999999,7.4908,4.974
opus-45,Edge Garden (Opus 4.5),3,0.25683926166666665,68.87,1.79,-1.3093,-1.3093,-5.2363,3.0413,0.0614,66.54,69.28,0,0,1.7623076923077008,0.1527396196597406,14.719999999999999,35.540000000000006,5.0,26.540000000000006,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-222.29,0.6654000000000001,1.3093,3.0413
opus-46,Liminal Archive (Opus 4.6),3,0.25683926166666665,69.2,1.0,-0.2397,-0.2397,-0.959,2.0707,0.0327,68.27,79.13,0,0,3.4923076923076906,0.3026791240747353,12.990000000000009,37.269999999999996,4.0,28.269999999999996,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-37.48,0.6827,0.2397,2.0707
opus-47-anchorage,The Anchorage (Claude Opus 4.7),3,0.25683926166666665,74.04,10.17,-12.2558,-12.2558,-29.2866,3.8808,0.2884,60.49,59.75,0,0,-4.2876923076923035,-0.3716152946239149,20.770000000000003,29.490000000000002,6.0,20.490000000000002,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-2089.03,0.6049,12.2558,3.8808
sonnet-45,Persistence Garden (Sonnet 4.5),3,0.25683926166666665,68.91,1.04,-1.1334,-1.1334,-4.5254,1.0265,0.0322,68.12,89.57,0,0,3.342307692307699,0.289678589009852,13.14,37.120000000000005,2.0,28.120000000000005,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-186.49,0.6812,1.1334,1.0265
sonnet-46-drift,The Drift (Claude Sonnet 4.6),3,0.25683926166666665,56.28,18.06,-17.3545,-17.3545,-11.4181,23.7636,0.5701,31.0,-140.49,1,0,-33.777692307692305,-2.927520488380112,50.260000000000005,0.0,13.0,-9.0,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-2922.44,0.31,17.3545,23.7636
